episode,junction,action,greedy_count,random_count
67,JW_west,0,138,24
67,JW_west,1,90,25
67,JW_west,2,105,18
67,JE_east,0,126,20
67,JE_east,1,129,6
67,JE_east,2,98,21
68,J0_central,0,113,25
68,J0_central,1,132,17
68,J0_central,2,94,19
68,JN_north,0,165,13
68,JN_north,1,42,20
68,JN_north,2,143,17
68,JS_south,0,87,17
68,JS_south,1,151,17
68,JS_south,2,110,18
68,JW_west,0,157,23
68,JW_west,1,136,16
68,JW_west,2,51,17
68,JE_east,0,150,21
68,JE_east,1,117,14
68,JE_east,2,68,30
69,J0_central,0,151,16
69,J0_central,1,117,26
69,J0_central,2,71,19
69,JN_north,0,30,17
69,JN_north,1,123,16
69,JN_north,2,198,16
69,JS_south,0,63,19
69,JS_south,1,207,25
69,JS_south,2,66,20
69,JW_west,0,100,15
69,JW_west,1,170,20
69,JW_west,2,76,19
69,JE_east,0,151,24
69,JE_east,1,57,13
69,JE_east,2,141,14
70,J0_central,0,168,17
70,J0_central,1,97,24
70,J0_central,2,74,20
70,JN_north,0,133,15
70,JN_north,1,86,24
70,JN_north,2,124,18
70,JS_south,0,135,19
70,JS_south,1,164,16
70,JS_south,2,49,17
70,JW_west,0,143,26
70,JW_west,1,154,22
70,JW_west,2,39,16
70,JE_east,0,126,18
70,JE_east,1,166,22
70,JE_east,2,55,13
71,J0_central,0,131,14
71,J0_central,1,151,19
71,J0_central,2,70,15
